Lagerkürzel;Auftragsnummer;LS-Nr.;geprüft j/n;Lieferdatum;Bearbeiter;Kundennummer;Kundenkürzel;L.-Name 1;L.-Straße;L.-PLZ;L.-Ort;;;;
Berlin Wein König;50129;LS36804;ja;06.04.2023;Petra Gräf;22067;Hach Lange GmbH;Hach Lange GmbH;Königsweg 10;14163;Berlin;;;;
VST Schörling;50130;LS36805;ja;24.04.2023;Petra Gräf;21497;Sparda München;Sparda-Bank München eG;Arnulfstr. 15;80335;München;;;;
STK Service;50132;LS36806;ja;16.06.2023;Petra Gräf;24140;Lufa;LUFA NRW;Nevinghoff 40;48147;Münster;;;;
Planegg;50131;LS36807;ja;04.04.2023;Josefine Mättig;20234;Bühler-Catering;Bühler-Catering GmbH;Industriestr. 2 b;76275;Ettlingen;;;;
Emons;50131;LS36808;ja;04.04.2023;Josefine Mättig;20234;Bühler-Catering;Bühler-Catering GmbH;Industriestr. 2 b;76275;Ettlingen;;;;
Emons;50133;LS36809;ja;04.04.2023;Josefine Mättig;20234;Bühler-Catering;hans-h.hasbargen GmbH & Co. KG;Dittmannswiesen 3;76646;Bruchsal;;;;
Kyffhäuser;50134;LS36810;ja;04.04.2023;Florian Gräf;20708;Kyffhäuser Waterworld;Kyffhäuser Waterworld;Brauereistraße 4;6556;Artern;;;;
VST Schörling;50136;LS36811;ja;25.04.2023;Petra Gräf;24141;Nasdo;NASDO AG;Heisenbergbogen 2;85609;Dornach;;;;
Berlin Wein König;50137;LS36812;ja;14.04.2023;Petra Gräf;21352;Setting;Setting HQ UG (haftungsbeschränkt);Schönhauser Allee 180  / 6.OG;10119;Berlin;;;;
Planegg;;LS36814;ja;05.04.2023;Petra Gräf;20772;Crystal Water;Crystal Water;Rosenheimer Str. 34;85635;Höhenkirchen;;;;
POSPRINT;50135;LS36818;ja;19.04.2023;Josefine Mättig;23930;Raiffeisenlandesbank;Raiffeisenlandesbank Oberösterreich;Europaplatz 1a;4020;Linz;;;;
Planegg;;LS36819;ja;05.04.2023;Florian Gräf;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
Planegg;50146;LS36820;ja;05.04.2023;Sönke Rocho;21441;AMS;AMS Technologies AG;Fraunhoferstraße 22;82152;Planegg;;;;
Planegg;50147;LS36821;ja;06.04.2023;Sönke Rocho;21028;VES;VES Heimwerkermarkt GmbH;Am Windfeld 8;83714;Miesbach;;;;
Planegg;50148;LS36822;ja;05.04.2023;Mihaela Abmayr;21698;Mr. Lodge Brüning;Mr. Lodge GmbH;Barer Straße 32;80333;München;;;;
Planegg;50149;LS36823;ja;05.04.2023;Josefine Mättig;24142;Aylin Hanisch;mainEquipment;Schäferheide 5;63457;Hanau;;;;
Planegg;49894;LS36825;ja;05.04.2023;Petra Gräf;20480;Wuesthoff & Wuesthoff;Wuesthoff & Wuesthoff;Schweigerstraße 2;81541;München;;;;
Planegg;50150;LS36827;ja;05.04.2023;Mihaela Abmayr;24143;Thomas Eckstein;Thomas Eckstein;Bismarckstraße;43;71634;Ludwigsburg;;;
Planegg;;LS36828;ja;05.04.2023;Josefine Mättig;23755;CBH Rechtsanwälte;CBH Rechtsanwälte;Habsburgerring 24;50674;Köln;;;;
Planegg;50154;LS36826;ja;05.04.2023;Christian Irrgang;20695;Gusto Kaffee GmbH;DG Timework;Elsenheimerstraße 45;80687;München;;;;
Planegg;50151;LS36829;ja;05.04.2023;Mihaela Abmayr;24144;Emma Eckstein;Emma Eckstein;Bismarckstr. 43;71634;Ludwigsburg;;;;
Planegg;50155;LS36830;ja;05.04.2023;Christian Irrgang;21747;natürlich H2O;natürlich H2O / Hansequelle Berlin;Pausiner Str. 34;14621;Schönwalde-Glien;;;;
Planegg;50156;LS36831;ja;05.04.2023;Florian Gräf;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
Planegg;50152;LS36832;ja;05.04.2023;Mihaela Abmayr;24145;Michael Richter;Michael Richter;Am Bischofsholz 9;4288;Leipzig;;;;
VST Schörling;49926;LS36833;ja;05.04.2023;Florian Gräf;22359;BCS Service vorm.IT-MAX;BCS Service GmbH;Dachauer Str. 70-72;80335;München;;;;
Planegg;50159;LS36835;ja;17.04.2023;Petra Gräf;24146;Hugo Pfohe Lübeck;Hugo Pfohe GmbH;Am Spargelhof 10;23554;Lübeck;;;;
STK Service;50160;LS36838;ja;05.04.2023;Florian Gräf;21955;Junghans Wollversand;Junghans Wollversand GmbH & Co.KG;Auf der Hüls 205;52068;Aachen;;;;
Kyffhäuser;;LS36840;ja;11.04.2023;Petra Gräf;23344;Falck Notfallrettung und Krank;Falck Notfallrettung u.Krankentransp.GmbH;Parkstr. 1;4758;Oschatz;;;;
Kyffhäuser;50162;LS36841;ja;11.04.2023;Petra Gräf;23344;Falck Notfallrettung und Krank;Falck Notfallrettung u.Krankentransp.GmbH;KH Hubertusburg;4779;Wermsdorf;;;;
Kyffhäuser;;LS36842;ja;11.04.2023;Petra Gräf;23344;Falck Notfallrettung und Krank;Falck Notfallrettung u.Krankentransp.GmbH;Alte Lindenstraße 5;4774;Dahlen OT Schmannewitz;;;;
Kyffhäuser;;LS36843;ja;06.04.2023;Petra Gräf;23343;Falck Arge;Falck Arge Rettungsdienst;Poeppigstraße 6;8529;Plauen;;;;
Planegg;48967;LS36846;ja;14.04.2023;Christian Irrgang;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
Planegg;50168;LS36847;ja;05.04.2023;Florian Gräf;20191;Gleisner;Dr. Graner & Partner;Lochhausener Str. 205;81249;München;;;;
Planegg;48882;LS36848;ja;17.04.2023;Christian Irrgang;20729;CJM Der Wassermann UG -ha;CJM Der Wassermann UG -haftungsbeschränkt-;Gronenfelder Weg 33;15234;Frankfurt;;;;
Planegg;;LS36849;ja;05.04.2023;Christian Irrgang;20234;Bühler-Catering;Bühler-Catering GmbH;Industriestr. 2 b;76275;Ettlingen;;;;
Schöttle - Haiterbach;50170;LS36850;ja;01.05.2023;Mihaela Abmayr;22285;Night Star;Night Star Express Honold GmbH;Markgröninger Str. 36;71701;Schwieberdingen;;;;
Planegg;50171;LS36851;ja;06.04.2023;Mihaela Abmayr;20807;Medien.Bayern GmbH;Medien.Bayern GmbH;August-Everding-Str. 25;81671;München;;;;
Planegg;50172;LS36852;ja;06.04.2023;Mihaela Abmayr;22728;Greatwall Motor;Greatwall Motor Deutschland GmbH;Max-Diamand-Str. 7;80937;München;;;;
Planegg;;zusamm.mit LS36489;ja;04.04.2023;Petra Gräf;61194;dm 1194 Stadtbergen;dm Filiale 1194;Daimlerstraße 1;86391;Stadtbergen;;;;
Planegg;;zusamm.mit LS36491;ja;04.04.2023;Petra Gräf;61437;dm 1437 Königsbrunn;dm Filiale 1437;Germanenstraße 17;86343;Königsbrunn;;;;
Planegg;;zusamm.mit LS36495;ja;04.04.2023;Petra Gräf;61512;dm 1512 Augsburg-Haunstetten;dm Filiale 1512;Unterer Talweg 60;86179;Augsburg - Haunstetten;;;;
Planegg;;zusamm.mit LS36494;ja;04.04.2023;Petra Gräf;61804;dm 1804 Augsburg;dm Filiale 1804;Edisonstraße 2;86199;Augsburg - Göggingen;;;;
Planegg;50176;LS36857;ja;06.04.2023;Mihaela Abmayr;24147;Zaltech International Gmb;Zaltech International GmbH;Salzburger Strasse 1; ATU61113556;5141;Moosdorf;;;
Planegg;50179;LS36858;ja;25.04.2023;Petra Gräf;22992;Stadtverwaltung Radebeul;Stadtverwaltung Radebeul;Pestalozzistraße 6;1445;Radebeul;;;;
Planegg;;zusamm.mit LS36500;ja;04.04.2023;Petra Gräf;62711;dm 2711 Augsburg;dm Filiale 2711;Brahmsstraße 2;86179;Augsburg - Haunstetten;;;;
Planegg;;zusamm.mit LS36483;ja;05.04.2023;Petra Gräf;60372;dm 0372 Gersthofen;dm Filiale 0372;Bahnhofstraße 13;86368;Gersthofen;;;;
Planegg;50182;LS36861;ja;06.04.2023;Mihaela Abmayr;22063;Friseursalon Josef & Sophie;Friseursalon Josef & Sophie;Tegernseer Landstraße 8;81541;München;;;;
Planegg;;zusamm.mit LS36481;ja;05.04.2023;Petra Gräf;60757;dm 0757 Neusäss;dm Filiale 0757;Daimlerstraße 13-15;86356;Neusäß;;;;
Planegg;;zusamm.mit LS36498;ja;05.04.2023;Petra Gräf;62557;dm 2557 Langweid;dm Filiale 2557;Am Lehenauweg 2c;86462;Langweid;;;;
Planegg;50185;zusamm.mit LS36492;ja;05.04.2023;Petra Gräf;61828;dm 1828 Aichach;dm Filiale 1828;Augsburger Straße 25;86551;Aichach;;;;
Planegg;;zusamm.mit LS36493;ja;05.04.2023;Petra Gräf;62039;dm 2039 Westendorf;dm Filiale 2039;Am Oberfeld 3a;86707;Westendorf;;;;
Planegg;50187;LS36866;ja;06.04.2023;Mihaela Abmayr;24148;Christin Zschache;Christin Zschache;Neulüdersdorf 12;16775;Gransee;;;;
Planegg;50188;LS36867;ja;06.04.2023;Mihaela Abmayr;24149;Felix Richter;Felix Richter;Heinrich-Laber-Straße 1;7548;Gera;;;;
Planegg;50192;LS36868;ja;06.04.2023;Mihaela Abmayr;24150;Jessica Moser;Jessica Moser;Kirchmatt 3;77960;Seelbach;;;;
Planegg;;LS36869;ja;20.04.2023;Petra Gräf;22768;Discovery Communications;Discovery Communications Deutschland GmbH&Co;Betastraße 1;85774;Unterföhring;;;;
VST Schörling;50195;LS36870;ja;06.04.2023;Florian Gräf;22843;K&L Gates München;K & L Gates LLP;Karlstr. 12;80333;München;;;;
Planegg;50194;LS36871;ja;06.04.2023;Josefine Mättig;20960;Mayer Getränke;MAYER Getränke;Böblinger Str. 67;71101;Schönaich;;;;
Planegg;;LS36872;ja;06.04.2023;Sönke Rocho;20176;markt.de GmbH & Co.KG;markt.de GmbH & Co.KG;Nymphenburger Str. 14;80335;München;;;;
Planegg;50197;LS36873;ja;06.04.2023;Josefine Mättig;22912;Bringmeister GmbH;Bringmeister GmbH;Gewerbering 14;82140;Olching;;;;
Planegg;50198;LS36874;ja;30.05.2023;Christian Irrgang;20234;Bühler-Catering;Bühler-Catering GmbH;Industriestr. 2 b;76275;Ettlingen;;;;
Planegg;50200;LS36875;ja;14.04.2023;Josefine Mättig;23353;Klarwa GmbH;klarwa GmbH;Auf dem Großstück 2;51580;Reichshof-Hunsheim;;;;
Planegg;50201;LS36876;ja;06.04.2023;Petra Gräf;20772;Crystal Water;Crystal Water;Rosenheimer Str. 34;85635;Höhenkirchen;;;;
Planegg;50202;LS36877;ja;06.04.2023;Sönke Rocho;20188;casavi GmbH;casavi GmbH;Sandstrasse 33;80335;München;;;;
Emons;;LS36878;ja;06.04.2023;Christian Irrgang;20475;Aquagast Wasseraufbereitu;Aquagast Wasseraufbereitungs-;Hofsteigstraße 112;6858;Schwarzach;;;;
Planegg;;LS36879;ja;19.04.2023;Christian Irrgang;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
Deutscher;50205;LS36880;ja;17.04.2023;Josefine Mättig;20835;SUGGLE GMBH -3;HEYCO-Kunststofftechnik Berg.Born;Am Weidenbroich 16;42897;Remscheid Bergisch Born;;;;
Planegg;50206;LS36881;ja;06.04.2023;Christian Irrgang;10160;AVALESS;AVALESS GmbH;Hansastr. 24;49205;Hasbergen;;;;
STK Service;50207;LS36882;ja;14.04.2023;Petra Gräf;22222;Amentum Dülmen Tower Barracks;Amentum Services; Inc.;Tower Barracks / Tuzostr. 1;48249;Dülmen;;;
Berlin Wein König;47920;LS36884;ja;20.04.2023;Petra Gräf;22105;Rieck Fulfillment;Rieck Fulfillment Solutions GmbH & Co. KG;Alexander-Meißner-Straße 84 - 88;12526;Berlin;;;;
Emons;50208;LS36886;ja;11.04.2023;Josefine Mättig;20429;AQUA PRO EUROPE a.s.;AQUA PRO EUROPE; a.s.;Pod Furcou 7;040 01;Kosice;;;
Planegg;50209;LS36887;ja;11.04.2023;Mihaela Abmayr;20633;a-on AG;a-on AG;Grundfeld 6;85445;Oberding;;;;
Planegg;;LS287;ja;29.03.2023;Christian Irrgang;21025;Scharr Schöttle;Scharr Fuels GmbH;Gubenerstr. 15;86156;Augsburg;;;;
Planegg;50211;LS36889;ja;11.04.2023;Mihaela Abmayr;22805;RC Beton Bau SRL;RC Beton Bau SRL;Schuegrafstraße 9;81245;München;;;;
Avaless Hasbergen;50212;LS36890;ja;14.04.2023;Mihaela Abmayr;23022;J-Store;J-Store Hamburg;Wandsbeker Chaussee 33;22089;Hamburg;;;;
Avaless Hasbergen;50213;LS36891;ja;14.04.2023;Mihaela Abmayr;23022;J-Store;J-Store Hamburg;Wandsbeker Chaussee 101;22089;Hamburg;;;;
Planegg;50214;LS36892;ja;11.04.2023;Christian Irrgang;24151;Tilo Schmigale;Tilo Schmigale;Dohnaer Straße 28c;1219;Dresden;;;;
Planegg;50217;LS36894;ja;17.04.2023;Mihaela Abmayr;23966;Elflein Logistik Bamberg;Elflein Logistik Bamberg GmbH;Carl-von-Linde-Straße 12;85716;Unterschleißheim;;;;
STK Service;50215;LS36895;ja;11.04.2023;Florian Gräf;23338;Le Gastro;Deutsche Post AG;Brauckstr. 36;58454;Witten;;;;
Planegg;50216;LS36896;ja;17.04.2023;Josefine Mättig;24152;Philipp Wojahn;Philipp Wojahn;Mittelweg 113;20149;Hamburg;;;;
VST Schörling;50013;LS36685.;ja;04.04.2023;Petra Gräf;22726;Agentur für Arbeit Augsburg;Familienkasse Bayern Süd;Otto-Lindenmeyer-Straße 28;86153;Augsburg;;;;
Planegg;50219;LS36900;ja;11.04.2023;Petra Gräf;20807;Medien.Bayern GmbH;Medien.Bayern GmbH;August-Everding-Str. 25;81671;München;;;;
Planegg;50221;LS36901;ja;11.04.2023;Florian Gräf;20575;R&F Mayer GmbH;R&F Mayer GmbH;Lorcher Str. 51;73547;Lorch-Waldhausen;;;;
STK Service;50222;LS36902;ja;11.04.2023;Mihaela Abmayr;21237;Berufstrainingszentrum BTZ;Berufstrainingszentrum Rhein-Ruhr gGmbH;Bebelstr. 56  / Tel. 0208 409400-34;-58;-59;46049;Oberhausen;;
VST Plep;50223;LS36903;ja;11.04.2023;Mihaela Abmayr;23943;Haustechnik Eistal GmbH;Haustechnik Eistal GmbH;Industriestraße 19;68623;Lampertheim;;;;
Strecke;50224;LS36904;ja;15.04.2023;Florian Gräf;20299;GWA;GWA GmbH;Hohendodeleber Str. 8;39110;Magdeburg;;;;
Planegg;50225;LS36905;ja;11.04.2023;Florian Gräf;20299;GWA;GWA GmbH;Hohendodeleber Str. 8;39110;Magdeburg;;;;
VST Schörling;49997;LS36906;ja;12.04.2023;Petra Gräf;22728;Greatwall Motor;Greatwall Motor Deutschland GmbH;Max-Diamand-Str. 7;80937;München;;;;
Propie Aqua;48952;50375341/Greiner Packagin;ja;11.04.2023;Christian Irrgang;10009;Propie-Aqua vorm.Support Wolf;Propie-Aqua GmbH;Kugelbreite 22;33154;Salzkotten;;;;
POSPRINT;50220;LS36907;ja;11.04.2023;Mihaela Abmayr;23833;Neuman Aluminium;Neuman Aluminium Strangpresswerk GmbH;Werkstraße 1;3182;Marktl;;;;
Emons;50226;LS36908;ja;11.04.2023;Florian Gräf;10160;AVALESS;AVALESS Depot Kaarst Tel. 015904186981;Daimlerstr.16;41564;Kaarst;;;;
VST Schörling;;LS36909;ja;11.04.2023;Petra Gräf;22029;H-tec Systems;H-TEC SYSTEMS GmbH;Innere Uferstraße 46 / Tor 4;86153;Augsburg;;;;
Emons;50229;LS36910;ja;11.04.2023;Florian Gräf;10160;AVALESS;AVALESS GmbH;Hansastr. 24;49205;Hasbergen;;;;
Planegg;50227;LS36911;ja;12.04.2023;Christian Irrgang;24058;Outaway;Outaway GmbH;Im Seefeld 9;31552;Rodenberg;;;;
Planegg;50230;LS36912;ja;12.04.2023;Josefine Mättig;24114;Max Dörr GmbH Förderanlagen;Max Dörr GmbH Förderanlagen;Robert-Bosch-Str. 2;75050;Gemmingen;;;;
Planegg;50231;LS36913;ja;12.04.2023;Mihaela Abmayr;24153;Renate Gehm;Renate Gehm;Weilheimer Straße 5;82347;Bernried am Starnberger See;;;;
Planegg;50232;LS36916;ja;17.04.2023;Josefine Mättig;22880;SAUTER HeadOffice;Sauter Controls GmbH;Hans-Bunte-Strasse 15;79108;Freiburg;;;;
Planegg;50233;LS36917;ja;12.04.2023;Mihaela Abmayr;24154;Ele Graf;Ele Graf;Schlossbezirk 09;3222;Lübbenau / Spreewald;;;;
Planegg;50234;LS36918;ja;12.04.2023;Mihaela Abmayr;24155;Leon Schleep;Leon Schleep;Kreisstraße 1;37318;Dietzenrode;;;;
Kapellanka Polen;38209;LS30629.;ja;31.03.2023;Petra Gräf;22688;dm Polen;dm-drogerie markt;ul. Armii Krajowej 5;44-286;Wodzislaw Slaski;;;;
Planegg;50235;LS36920;ja;20.04.2023;Florian Gräf;20362;Emons Spedition GmbH;Emons Spedition GmbH;Lindberghstr. 6;85399;Hallbergmoos;;;;
Planegg;50236;LS36921;ja;12.04.2023;Mihaela Abmayr;24156;Dustin Maith;Frank Hillerich;Weidenring 35;64625;Bensheim;;;;
Planegg;50237;LS36922;ja;12.04.2023;Mihaela Abmayr;20221;Abschnitt West;PP München Abschnitt West;Romanstraße 13;80639;München;;;;
Planegg;50238;LS36924;ja;12.04.2023;Mihaela Abmayr;20604;KI group GmbH;KI group GmbH;Mittelstr. 12-14;50672;Köln;;;;
STK Service;50240;LS36925;ja;12.04.2023;Mihaela Abmayr;24157;Ayhan Dindar;Ayhan Dindar;Theresienstr 3A;45711;Datteln;;;;
Emons;50157;LS36926;ja;17.04.2023;Christian Irrgang;24138;TRUE Coffee di Fina;TRUE GmbH;Weyerhofstraße 68;47803;Krefeld;;;;
Avaless Berlin;50241;LS36927;ja;18.04.2023;Mihaela Abmayr;22997;LCM Reinigung;LCM Reinigung GmbH;Reinickendorfer Str. 11  / 4.OG rechts;13347;Berlin-Wedding;;;;
Planegg;50239;LS36928;ja;12.04.2023;Josefine Mättig;24138;TRUE Coffee di Fina;TRUE GmbH;Weyerhofstraße 68;47803;Krefeld;;;;
STK Service;50242;LS36929;ja;12.04.2023;Mihaela Abmayr;23781;Fischer;A. Fischer & Söhne GmbH;Altenbochumer Straße 15-21;44803;Bochum;;;;
Planegg;50243;LS36930;ja;12.04.2023;Mihaela Abmayr;22715;PiAL Consult GmbH;PiAL Consult GmbH;ABC-Straße 15;20354;Hamburg;;;;
STK Service;50244;LS36931;ja;12.04.2023;Mihaela Abmayr;23686;Falck Duisburg;Falck Notfallrettung und;Ringstr. 38 - 46;50996;Köln;;;;
Kapellanka Polen;43273;LS33220.;ja;31.03.2023;Petra Gräf;22688;dm Polen;dm-drogerie markt;ul. Jana Pawla II 1A;59-800;Luban;;;;
Planegg;50245;LS36933;ja;12.04.2023;Mihaela Abmayr;24026;OnkoMedeor Diagnostic MVZ;OnkoMedeor Diagnostic MVZ GmbH;Weizengasse 2;85354;Freising;;;;
Emons;50246;LS36934;ja;12.04.2023;Florian Gräf;23144;Therme Amadé;Therme Amadé Badbetriebsführungs GmbH;Thermenplatz 1;5541;Altenmarkt im Pongau;;;;
Strecke;;LS36935;ja;12.04.2023;Florian Gräf;10160;AVALESS;AVALESS GmbH;Hansastr. 24;49205;Hasbergen;;;;
STK Service;50248;LS36936;ja;12.04.2023;Mihaela Abmayr;22104;KITA Spatzennest;KITA Spatzennest;Eibenweg 5d;47906;Kempen;;;;
Planegg;50250;LS36939;ja;12.04.2023;Mihaela Abmayr;23823;Quest Global Engineering;Quest Global Engineering Services GmbH;Weimarer Str. 32;80807;München;;;;
AQUATRADE Bram;;LS36940;ja;25.04.2023;Florian Gräf;21288;gkv;gkv Informatik;Skandinaviendamm 360;24109;Kiel;;;;
Planegg;;LS36942;ja;19.04.2023;Christian Irrgang;21258;Coffice;Ferdinand Bierbichler GmbH&Co.KG;Hofmühlstraße 1-7;83071;Stephanskirchen;;;;
Emons;49035;LS36943;ja;12.04.2023;Christian Irrgang;21258;Coffice;Coffice Betriebsverpflegung KG;Am Bergfeld 7;83139;Söchtenau;;;;
Planegg;49035;LS36944;ja;12.04.2023;Christian Irrgang;21258;Coffice;Coffice Betriebsverpflegung KG;Am Bergfeld 7;83139;Söchtenau;;;;
Planegg;50253;LS36945;ja;19.04.2023;Sönke Rocho;22598;Rhenus Freight Lgoistics;Rhenus Freight Logistics GmbH & Co. KG;Lilienthalstrasse 17a;85399;Hallbergmoos;;;;
Planegg;50255;LS36946;ja;20.04.2023;Christian Irrgang;22405;Doina Renges;Doina Renges;Binderweg 12;83022;Rosenheim;;;;
Planegg;;LS36947;ja;13.04.2023;Petra Gräf;20772;Crystal Water;Crystal Water;Rosenheimer Str. 34;85635;Höhenkirchen;;;;
Planegg;50258;LS36948;ja;13.04.2023;Christian Irrgang;20729;CJM Der Wassermann UG -ha;CJM Der Wassermann GmbH;Gronenfelder Weg 33;15234;Frankfurt;;;;
Planegg;50259;LS36949;ja;13.04.2023;Josefine Mättig;24109;Ovivo Deutschland GmbH;Ovivo Deutschland GmbH;Max-Planck-Straße 9-11;71254;Ditzingen;;;;
VST Schörling;49912;LS36950;ja;13.04.2023;Florian Gräf;21795;GEWO Feinmechanik GmbH;GEWO Feinmechanik GmbH;Bahnhofstr. 23;85457;Wörth/Hörlkofen;;;;
Strecke;50257;LS36951;ja;13.04.2023;Christian Irrgang;20577;Schankanlagenfachbetrieb Karow;Schankanlagenfachbetrieb;Dr.-Heinrich-Jasper-Str. 31;38667;Bad Harzburg;;;;
VST Schörling;50260;LS36952;ja;13.04.2023;Christian Irrgang;20191;Gleisner;Schuh Mücke;Einsteinstraße 130;81675;München;;;;
Strecke;50261;LS36953;ja;13.04.2023;Mihaela Abmayr;24159;Lamers Gebüdetechnik und;Lamers Gebüdetechnik und Service;Obere Zeil 4;61440;Oberursel;;;;
Kapellanka Polen;;LS36955;ja;31.03.2023;Petra Gräf;22688;dm Polen;dm-drogerie markt  0012;ul. Slowackiego 112c;32-400;Myslenice;;;;
Kapellanka Polen;;LS36956;ja;31.03.2023;Petra Gräf;22688;dm Polen;dm-drogerie markt  0014;al. Jana Pawla II  41;44-240;Zory;;;;
Kapellanka Polen;;LS36957;ja;31.03.2023;Petra Gräf;22688;dm Polen;dm-drogerie markt  0008;ul. Armii Krajowej 5;44-286;Wodzislaw Slaski;;;;
Kapellanka Polen;50266;LS36958;ja;31.03.2023;Petra Gräf;22688;dm Polen;dm-drogerie markt  0004;ul. Poznanska 3;64-100;Leszno;;;;
Planegg;50267;LS36959;ja;13.04.2023;Mihaela Abmayr;24160;Nils Karlson;Nils Karlson;Annenstr. 10a;58453;Witten;;;;
Kyffhäuser;50268;LS36960;ja;19.04.2023;Mihaela Abmayr;22887;LK Metallwaren GmbH;LK Metallwaren GmbH;An der Schwelerei 6;6369;Südliches Anhalt;;;;
Planegg;50269;LS36961;ja;13.04.2023;Mihaela Abmayr;20849;TTI; Inc.;TTI; Inc.;Junkerstraße 1;82178;Puchheim;;
Planegg;50270;LS36962;ja;13.04.2023;Florian Gräf;20829;Fritz Steinhaus GmbH & Co;Fritz Steinhaus GmbH & Co. KG;Im Heidkamp 17;33334;Gütersloh;;;;
Planegg;50270;LS36963;ja;02.05.2023;Florian Gräf;20829;Fritz Steinhaus GmbH & Co;Fritz Steinhaus GmbH & Co. KG;Im Heidkamp 17;33334;Gütersloh;;;;
Planegg;;LS36964;ja;24.04.2023;Petra Gräf;22343;Lacon;Lacon Electronic GmbH;Hertzstr. 2;85757;Karlsfeld;;;;
VST Plep;50272;LS36965;ja;17.04.2023;Florian Gräf;21737;Heuser;Sanofi Aventis Deutschland;Industriepark Höchst;65926;Frankfurt a.M.;;;;
Koch Rostock;50273;LS36966;ja;13.04.2023;Petra Gräf;22409;TQ TherapeutiQum;TQ TherapeutiQum;Rostocker Str. 25 A;18190;Sanitz;;;;
Emons;50274;LS36967;ja;13.04.2023;Mihaela Abmayr;21982;Amazon Deutschland N3 Trans.;Amazon Deutschland N3 Transport GmbH;Winkelhörner Weg 5;24794;Borgstedt;;;;
Emons;50275;LS36968;ja;13.04.2023;Mihaela Abmayr;22167;Amazon Deutschland N8 Trans.;Amazon Deutschland N8 Transport GmbH;Bergkoppel 2;23843;Bad Oldesloe;;;;
Planegg;50276;LS36969;ja;13.04.2023;Josefine Mättig;23429;Rewo-Tech Kernbau GmbH;Rewo-Tech Maschinenbau GmbH;Kraußstraße 7;4020;Linz;;;;
VST Plep;;LS36970;ja;15.04.2023;Petra Gräf;23956;Globus Logistik;GLOBUS Logistik GmbH & Co. KG;Globusallee;55411;Bingen;;;;
STK Service;;LS36971;ja;17.04.2023;Petra Gräf;24161;Appak;Appak GmbH;Ringsheimer Allee  0;53881;Euskirchen;;;;
Planegg;40958;LS36972;ja;13.04.2023;Christian Irrgang;20566;pure engineering GmbH;pure engineering GmbH;Holzwiesenweg 9;73635;Rudersberg-Steinenberg;;;;
Planegg;50279;LS36973;ja;13.04.2023;Christian Irrgang;10160;AVALESS;AVALESS GmbH;Hansastr. 24;49205;Hasbergen;;;;
Planegg;50280;LS36974;ja;13.04.2023;Sönke Rocho;22378;SKI GmbH;SKI GmbH + Co.KG;Lessingstraße 9  / 3.OG;80336;München;;;;
Planegg;50281;LS36975;ja;13.04.2023;Christian Irrgang;22449;Wyndham Garden München;Stahlgruberring 4 Hotel GmbH;Stahlgruberring 4;81829;München;;;;
Planegg;50282;LS36976;ja;13.04.2023;Sönke Rocho;20120;Schmid Alarm GmbH;Schmid Alarm GmbH;Gautinger Str. 9;82131;Stockdorf;;;;
Aquatec - Krüger;;LS36977;ja;01.06.2023;Petra Gräf;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Beim Strohhause 31  / 2.OG;20097;Hamburg;;;;
Planegg;50356;LS36978;ja;14.04.2023;Petra Gräf;24162;Frötscher / Wirtschaftskammer;fxp frötscher x prader architekten;Paul-Henri-Spaak-Straße;81829;München;;;;
Teamblue Bad Münder;50364;LS36979;ja;14.04.2023;Florian Gräf;20413;Lowescher;Lowescher Automaten Catering;Benzstraße 8;48599;Gronau;;;;
Dolphin; Bonstetten;50398;LS36980;ja;14.04.2023;Florian Gräf;22999;Hormuth GmbH;Hormuth GmbH;Im Bieth 26;69124;Heidelberg;;;
Kapellanka Polen;50379;LS36981;ja;31.03.2023;Petra Gräf;22688;dm Polen;dm-drogerie markt  0005;ul. Bunscha 19;30-392;Kraków;;;;
Planegg;;LS36982;ja;14.04.2023;Florian Gräf;22689;Plep;VST - Plep;Otto-Hahn-Str. 7;55435;Gau Algesheim;;;;
Planegg;49879;LS36983;ja;14.04.2023;Josefine Mättig;24110;Autohaus Gelnhausen Geiger;Autohaus Gelnhausen Geiger & Liebsch;Im Niederfeld 2+5;63589;Linsengericht;;;;
Planegg;50497;LS36984;ja;14.04.2023;Mihaela Abmayr;21579;TraXall;TraXall Germany;Keltenring 15;82041;Oberhaching;;;;
STK Service;50498;LS36985;ja;24.04.2023;Mihaela Abmayr;22435;Accuride Wheels Solingen GmbH;Accuride Wheels Solingen GmbH;Weyerstraße 112;42697;Solingen;;;;
Planegg;;LS36986;ja;14.04.2023;Christian Irrgang;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
STK Service;50516;LS36987;ja;14.04.2023;Mihaela Abmayr;22716;LVR-Anna-Freud-Schule;LVR-Anna-Freud-Schule;Alter Militärring 96;50933;Köln;;;;
