Lagerkürzel;Auftragsnummer;LS-Nr.;geprüft j/n;Lieferdatum;Bearbeiter;Kundennummer;Kundenkürzel;L.-Name 1;L.-Straße;L.-PLZ;L.-Ort;;;;
Planegg;109616;LS72780;ja;11.03.2026;Petra Gräf;27071;Autohaus Stanglmair (4) Schong;Autohaus Stanglmair GmbH &  Co.Betr.KG;Bahnhofstr. 13;86956;Schongau;;;;
Planegg;109617;LS72781;ja;20.03.2026;Petra Gräf;27072;Autohaus Stanglmair (5) GAP;Autohaus Stanglmair GmbH &  Co. Betr. KG;Hauptstr. 16;82467;Garmisch-Partenkirchen;;;;
Schöttle - Haiterbach;109619;LS72782;ja;01.04.2026;Petra Gräf;27074;Grundschule Winterlingen;Grundschule Winterlingen;Schreinerstraße 10;72474;Winterlingen;;;;
AMW Auersperg;109622;LS72784;ja;16.01.2026;Petra Gräf;27076;Grundschule an der Stadtmauer;Grundschule an der Stadtmauer;Breite Straße 25a;15848;Beeskow;;;;
VST Schörling;108111;LS72035.;ja;11.02.2026;Estaline Philander;24238;Agfa;Agfa-Gevaert Healthcare GmbH;Max-Planck-Str. 1;82830;Peißenberg;;;;
VST Schörling;109791;Wtg.7214, 01.12;ja;19.01.2026;Estaline Philander;20191;Gleisner;ZTK Zahngesundheit GmbH;Leopoldstraße 230;80807;München;;;;
VST Schörling;109795;LS72874;ja;16.01.2026;Mihaela Abmayr;25517;CNT Europe Engenharia S.A.;CNT Europe Engenharia S.A.;Eversbuschstraße 172;80999;München;;;;
Kyffhäuser;109827;LS72906;nein;07.01.2026;Andreas Pöppe;23338;Le Gastro;Deutsche Post AG;Im Rotte 2;34355;Staufenberg;;;;
Aquatec - Bremen;109952;LS73032;ja;08.01.2026;Estaline Philander;23162;Teppana Produktion GmbH;Teppana Produktion GmbH;Obenhauptstraße 4;22335;Hamburg;;;;
VST Schörling;109962;LS73041;ja;13.01.2026;Petra Gräf;27087;Franka Robotics;Franka Robotics GmbH;Koppstr. 12;81379;München;;;;
VST Schörling;106053;LS70919 MBU;nein;01.01.2026;Petra Gräf;23338;Le Gastro;Deutsche Post AG;Edisonstr. 9;84453;Mühldorf a.Inn;;;;
Planegg;109986;LS73067;ja;02.02.2026;Florian Gräf;25300;Skytanking Munich;Skytanking Munich GmbH & Co. KG;Wartungsallee 19;85356;München - Flughafen;;;;
aboutwater Bünde;110002;LS73092;ja;22.01.2026;Florian Gräf;26853;AUGUST STORCK KG;AUGUST STORCK KG;Herrenhöfer Landstraße 5;99885;Ohrdruf;;;;
CJM;110043;LS73130;ja;07.01.2026;Estaline Philander;27023;Schülerhilfe Frank Nichterlein;Schülerhilfe Bautzen;Wallstraße 18;02625;Bautzen;;;;
Gänshirt-Aufmbruch;110100;LS73191;ja;18.02.2026;Andreas Pöppe;26485;ST Extruded Products (STEP-G);ST Extruded Products Germany GmbH;Friedrich-Woehler-Strasse 2;53117;Bonn;;;;
VST Schörling;110102;LS73192;ja;21.01.2026;Petra Gräf;27106;Lanes & Planes GmbH;Lanes & Planes GmbH;Friedenheimer Brücke 16;80639;München;;;;
Gänshirt-Aufmbruch;110106;LS73198;ja;19.01.2026;Petra Gräf;27107;St. Martinus Moers;Kita St. Marien;Königsbergerstraße 21 a;47443;Moers;;;;
AMW Auersperg;110113;LS73204;ja;19.01.2026;Petra Gräf;22105;Rieck Fulfillment;Rieck Fulfillment Solutions GmbH & Co. KG;Alexander-Meißner-Straße 84 - 88;12526;Berlin;;;;
Gänshirt-Aufmbruch;110118;LS73208;ja;08.01.2026;Petra Gräf;27108;IHK Nord Westfalen;IHK Nord Westfalen;Rathausplatz 7;45894;Gelsenkirchen;;;;
Gänshirt-Aufmbruch;110125;LS73218;ja;07.01.2026;Petra Gräf;27108;IHK Nord Westfalen;IHK Nord Westfalen;Sentmaringer Weg 61;48151;Münster;;;;
aboutwater Bünde;110131;LS73222;ja;20.01.2026;Andreas Pöppe;23231;Böhmer;Hans Willi Böhmer;Oerzer Str. 14;21394;Südergellersen;;;;
Gleisner;110130;LS73224;ja;19.01.2026;Petra Gräf;27086;Die Autobahn Nordbayern;Die Autobahn GmbH des Bundes - NL Nordbayern;Bockshügel 1;91257;Pegnitz-Trockau;;;;
Gleisner;110135;LS73227;ja;19.01.2026;Petra Gräf;27086;Die Autobahn Nordbayern;Die Autobahn GmbH des Bundes - NL Nordbayern;Gebertshofen 28;92283;Lauterhofen;;;;
Gleisner;110140;LS73230;ja;21.01.2026;Petra Gräf;27086;Die Autobahn Nordbayern;Die Autobahn GmbH des Bundes - NL Nordbayern;An der Autobahn 1;91058;Erlangen;;;;
Gleisner;110144;LS73231;ja;21.01.2026;Petra Gräf;27086;Die Autobahn Nordbayern;Die Autobahn GmbH des Bundes - NL Nordbayern;An der Autobahn 1;91058;Erlangen;;;;
VST Schörling;110164;LS73251;ja;13.01.2026;Petra Gräf;27087;Franka Robotics;Franka Robotics GmbH;Koppstr. 12;81379;München;;;;
STK Service;110203;LS73295;ja;08.01.2026;Estaline Philander;26948;facilicon GmbH;facilicon GmbH;Am Gewerbehof 28;50170;Kerpen;;;;
Planegg;110211;LS73298;nein;01.01.2026;Andreas Pöppe;21795;GEWO Feinmechanik GmbH;GEWO Feinmechanik GmbH & Co. KG;Bahnhofstr. 45;85457;Wörth/Hörlkofen;;;;
STK Service;110210;LS73301;ja;08.01.2026;Estaline Philander;23991;SkinWorks;SkinWorks;Händelstrasse 2-4;50674;Köln;;;;
AQUATRADE Glinde;110231;LS73320;ja;08.01.2026;Estaline Philander;22559;Zentrum für Personaldienste;Zentrum für Personaldienste;Normannenweg 36;20537;Hamburg;;;;
Gänshirt-Aufmbruch;110239;LS73329;ja;12.02.2026;Mihaela Abmayr;27118;Zusje;t Zusje;Markt 52-54;52062;Aachen;;;;
AQUATRADE Glinde;110246;LS73335;ja;07.01.2026;Estaline Philander;22415;Schaeffler Gruppe;Schaeffler VLS Germany GmbH & Co.KG;Billbrookdeich 82;22113;Hamburg;;;;
VST Schörling;;LS73354;ja;06.02.2026;Petra Gräf;24178;Classic K Catering GmbH;Classic K Catering GmbH;Alkorstraße 14;83512;Wasserburg am Inn;;;;
AQUATRADE Glinde;110256;LS73358;ja;06.01.2026;Petra Gräf;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
VST Schörling;;LS73362;ja;09.01.2026;Giorgi Lomidze;22000;Heine Optotechnik;HEINE Optotechnik GmbH & Co. KG;Dornierstraße 6;82205;Gilching;;;;
VST Schörling;110282;LS73378;ja;08.01.2026;Andreas Pöppe;24333;Bayern FM;Bayerische Landesbrandversicherung;Deisenhofener Straße 75;81539;München;;;;
AMW Auersperg;110286;LS73382;ja;15.01.2026;Petra Gräf;22067;Hach Lange GmbH;Hach Lange GmbH;Königsweg 10;14163;Berlin;;;;
aboutwater Frankfurt;110291;LS73387;ja;12.01.2026;Petra Gräf;27121;ROKA Interdisziplinäres Medizi;ROKA Interdisziplinäres Medizinisches;Heilbronner Str. 86;70191;Stuttgart;;;;
Planegg;110293;LS73389;ja;07.01.2026;Estaline Philander;24776;Max-Planck-Förderstiftung;Max-Planck-Förderstiftung;Aldringenstr. 4;80639;München;;;;
STK Service;110294;LS73390;ja;06.01.2026;Estaline Philander;26212;therapiezentrum.com;therapiezentrum.com;Adalbertsteinweg 12-16;52070;Aachen;;;;
STK Service;110295;LS73392;ja;12.01.2026;Estaline Philander;26700;CBG Bauunternehmen;CBG Bauunternehmen;Talstraße 85;42697;Solingen;;;;
Planegg;110297;LS73393;ja;07.01.2026;Estaline Philander;22476;Agentur für Arbeit Freising;Agentur für Arbeit Freising;Parkstr. 11  / 1.UG, Raum K03;85356;Freising;;;;
natürlich H2O;110300;LS73397;ja;07.01.2026;Estaline Philander;23969;Topos;TOPOS Versicherungskontor GmbH;Scharnweberstr. 130/131;13405;Berlin;;;;
Gänshirt-Aufmbruch;110304;LS73399;ja;19.01.2026;Petra Gräf;27089;Aderhold;Aderhold GmbH;Speditionstraße 23;40221;Düsseldorf;;;;
Gänshirt-Aufmbruch;110306;LS73400;ja;14.01.2026;Estaline Philander;23338;Le Gastro;Deutsche Post AG;Europaallee 15;50226;Frechen;;;;
Gänshirt-Aufmbruch;110310;LS73402;ja;16.01.2026;Estaline Philander;25458;Koenig & Partner 1 Herzogenrat;Steuerberater Koenig & Partner mbB;Josef-Lambertz-Straße 59a;52134;Herzogenrath;;;;
STK Service;110312;LS73403;ja;05.01.2026;Estaline Philander;26238;CSS Europe;H&mv Baustelle (Kraftwerk);Siegenbeckstraße 10;59071;Hamm;;;;
STK Service;110315;LS73405;ja;06.01.2026;Carmen Berger;25561;EPG Ehrhardt+Partner;Ehrhardt + Partner GmbH & Co. KG;Antonio- Segni Str. 8;44263;Dortmund;;;;
Gleisner;110317;LS73408;ja;11.02.2026;Petra Gräf;27086;Die Autobahn Nordbayern;Die Autobahn GmbH des Bundes - NL Nordbayern;Regnitzlosauer Straße 47;95111;Rehau;;;;
AMW Auersperg;110320;LS73411;ja;14.01.2026;Estaline Philander;26337;Freiraum für alle GmbH;Freiraum für alle GmbH;Lützowstraße 102 - 104;10785;Berlin;;;;
AQUATRADE Glinde;110324;LS73415;ja;08.01.2026;Estaline Philander;26304;Falck Akademie;Falck Akademie Deutschland;Holstenhofweg 47b;22043;Hamburg;;;;
AMW Auersperg;110327;LS73419;ja;20.01.2026;Estaline Philander;26711;dsb Dt.Sanierungsberatung;dsb Deutsche Sanierungsberatung GmbH;Anna-Louisa-Karsch-Straße 2;10178;Berlin;;;;
CJM;110330;LS73420;ja;06.01.2026;Petra Gräf;27090;BäckerMann;BäckerMann Backwaren und Feinkost GmbH;Südwestkorso 9;12161;Berlin;;;;
CJM;110331;LS73421;ja;06.01.2026;Petra Gräf;27090;BäckerMann;BäckerMann Backwaren und Feinkost GmbH;Pariser Str. 20;10707;Berlin;;;;
AQUATRADE Glinde;110329;LS73423;ja;09.01.2026;Estaline Philander;25101;WRENKH;WRENKH KochEvents;Max-Brauer-Allee 251;22769;Hamburg;;;;
VST Schörling;106025;LS73424;ja;27.01.2026;Estaline Philander;22463;Agentur für Arbeit Garmisch;Agentur für Arbeit Weilheim;Charmonixstr. 3-9  / 2.OG, Raum 216;82467;Garmisch-Partenkirchen;;;;
Ines Rütz Appen;109906;LS73429;nein;01.01.2026;Petra Gräf;23577;Dataport 1;Dataport Hanse Center (DHC);Wikingerweg 1;20537;Hamburg;;;;
Planegg;110338;LS73430;ja;07.01.2026;Andreas Pöppe;23774;Glasl´s Landhotel;Glasl´s Landhotel;Münchener Straße 11;85604;Zorneding;;;;
Planegg;110337;LS73431;ja;07.01.2026;Estaline Philander;20362;Emons Spedition;Emons Spedition GmbH & Co. KG;Lindberghstr. 6;85399;Hallbergmoos;;;;
VST Schörling;110341;LS73432;ja;13.01.2026;Giorgi Lomidze;22732;Micro Fuzzy /KPIT-Tochterfirma;Micro Fuzzy Industrie-Elektronic GmbH;Schleißheimer Str 377;80935;München;;;;
STK Service;110340;LS73435;ja;05.01.2026;Estaline Philander;23686;Falck Duisburg Hattingen Köln;(RW3) Falck Notfallrettung und;Duisburger Straße 145;47166;Duisburg;;;;
aboutwater Frankfurt;110343;LS73436;ja;07.01.2026;Estaline Philander;25115;GüT Dekanat;GüT Dekanat;Hinter Den Gärten 17;55234;Offenheim;;;;
aboutwater Frankfurt;110344;LS73437;ja;07.01.2026;Carmen Berger;26578;Voltaris;VOLTARIS GmbH;Voltastraße 3;67133;Maxdorf;;;;
AQUATRADE Glinde;110348;LS73441;ja;07.01.2026;Estaline Philander;26180;AW Management;AW Management GmbH & Co. KG;Kreihüttenmoorweg 39;26607;Aurich;;;;
Schöttle - Haiterbach;110354;LS73446;ja;24.01.2026;Estaline Philander;26330;EDL Dienstleistungen GmbH;EDL Dienstleistungen GmbH;Auf der Hub 22;76307;Karlsbad;;;;
Planegg;110355;LS73447;ja;14.01.2026;Estaline Philander;22449;Wyndham Garden München;Stahlgruberring 4 Hotel GmbH;Stahlgruberring 4;81829;München;;;;
VST Schörling;110356;LS73448;ja;09.01.2026;Sönke Rocho;25298;Darktrace;Darktrace Germany GmbH;Sonnenstraße 31;80331;München;;;;
VST Schörling;110161;LS73250.;ja;13.01.2026;Estaline Philander;23182;Agile Robots AG;Agile Robots SE;Koppstr. 12;81379;München;;;;
AQUATRADE Glinde;110179;LS73451;ja;06.01.2026;Carmen Berger;23577;Dataport 1;Dataport - Anstalt des öffentl. Rechts;Altenholzer Straße 10-14;24161;Altenholz;;;;
AQUATRADE Glinde;110373;LS73454;ja;05.01.2026;Carmen Berger;23022;J-Store;J-Store Hamburg;Wandsbeker Chaussee 33;22089;Hamburg;;;;
AQUATRADE Glinde;110375;LS73455;ja;05.01.2026;Carmen Berger;23022;J-Store;J-Store Hamburg;Wandsbeker Chaussee 101;22089;Hamburg;;;;
STK Service;;LS73456;ja;12.01.2026;Petra Gräf;23929;G2V Regus Vivid;Vivid Resourcing;Kaiserswerther Str. 135;40474;Düsseldorf;;;;
Planegg;110378;LS73457;ja;19.01.2026;Max Sanktjohanser;27128;frankfurter werkgemeinschaft;frankfurter werkgemeinschaft;Löwengasse 27 F;60385;Frankfurt am Main;;;;
Planegg;109918;LS73458;ja;08.01.2026;Max Sanktjohanser;27093;Bergmann;Ludwig Bergmann GmbH;Hauptstraße 64-66;49424;Goldenstedt;;;;
Planegg;109921;LS73459;ja;08.01.2026;Max Sanktjohanser;26606;AWB Oldenburg;Stadt Oldenburg;Wehdestraße 70;26123;Oldenburg;;;;
Planegg;109852;LS73460;ja;07.01.2026;Max Sanktjohanser;27088;Bad Berleburg;Jugendförderverein Bad Berleburg e.V.;An der Struth 17;57319;Bad Berleburg;;;;
Planegg;109968;LS73461;ja;09.01.2026;Max Sanktjohanser;27098;ETO;Elektrotechnik Oelsnitz/E. GmbH;Hoffeldstrasse 3;09376;Oelsnitz/Erzgebirge;;;;
Planegg;109960;LS73462;ja;08.01.2026;Max Sanktjohanser;27097;Grävenwiesbach;Gemeinde Grävenwiesbach;Bahnhofsweg 2 a;61279;Grävenwiesbach;;;;
Planegg;110033;LS73463;ja;02.01.2026;Max Sanktjohanser;26097;Stadt Sulzbach;Stadt Sulzbach;Sulzbachtalstr. 81;66280;Sulzbach/Saar;;;;
POSPRINT;109987;LS73464;ja;02.01.2026;Max Sanktjohanser;26927;opticunion;Opticunion GmbH;Heinrich-Hertz-Str. 27;78052;Villingen-Schwenningen;;;;
Planegg;110086;LS73465;ja;12.01.2026;Max Sanktjohanser;10028;Jakob Wassertechnik GmbH;Jakob Wassertechnik GmbH & Co.KG;Im Krautgarten 19;86470;Thannhausen;;;;
Planegg;110141;LS73466;ja;13.01.2026;Max Sanktjohanser;26644;Kreis Offenbach;Kreis Offenbach, FD Steuerungsunterstützung;Werner-Hilpert-Str. 1;63128;Dietzenbach;;;;
Planegg;110307;LS73467;ja;16.01.2026;Max Sanktjohanser;27055;DWA;DWA-Landesverband Nord;Bördestraße 19;31135;Hildesheim;;;;
POSPRINT;109957;LS73468;ja;21.01.2026;Max Sanktjohanser;27056;Stadt Datteln;Dezernat Kinder, Jugend, Familie, Soziales;Kolpingstraße 1;45711;Datteln;;;;
Planegg;110328;LS73469;ja;07.01.2026;Max Sanktjohanser;20578;Health Aging Research Gro;H.A.R.G. S.B. SRL;Via Marcello Morandi 17;26039;Vescovato (CR);;;;
Planegg;110351;LS73470;ja;15.01.2026;Max Sanktjohanser;27032;Druckerei Nejedly;Druckerei Nejedly GmbH;Lindenstr. 1a;61381;Friedrichsdorf;;;;
Planegg;110380;LS73472;ja;08.01.2026;Estaline Philander;26301;Gemeinschaftspraxis Orthopädie;Gemeinschaftspraxis Orthopädie Gilching;Römerstraße 4b;82205;Gilching;;;;
Planegg;110382;LS73474;ja;09.01.2026;Estaline Philander;25670;Punjabi Foods Trading;Punjabi Foods Trading GmbH;Maria-Probst-Str 41a;80939;München;;;;
Planegg;110383;LS73475;ja;07.01.2026;Estaline Philander;24026;Heamalab vorm.OnkoMedeor;Haemalab - Onkologisches Zentrum Freising MVZ;Weizengasse 2;85354;Freising;;;;
Planegg;110384;LS73476;ja;07.01.2026;Estaline Philander;23850;SE Sustainable Exergy GmbH;SE Sustainable Exergy GmbH;Feldkirchener Straße 12 A;85551;Kirchheim;;;;
Planegg;110385;LS73477;ja;13.01.2026;Estaline Philander;24063;Verisk Analytics GmbH;Verisk Analytics GmbH;Unterer Anger 3;80331;München;;;;
Planegg;110386;LS73478;ja;19.01.2026;Estaline Philander;25902;MMA Erding;MMA Erding;Moosweg 10;85435;Erding;;;;
Planegg;110388;LS73479;ja;13.01.2026;Estaline Philander;22078;Sprachschule Aktiv;Sprachschule Aktiv;Heßstraße 90;80797;München;;;;
VST Schörling;110390;LS73480;ja;08.01.2026;Andreas Pöppe;22466;Agentur für Arbeit Weilheim;Agentur für Arbeit Weilheim;Karwendelstr. 1;82362;Weilheim;;;;
Planegg;110391;LS73481;ja;13.01.2026;Estaline Philander;26483;Tobias Deißenberger;Tobias Deißenberger;Pestalozzistr. 15;80469;München;;;;
Planegg;110395;LS73482;ja;08.01.2026;Estaline Philander;24513;Fahrschule Brandt;Fahrschule Brandt;Lochhauser Straße 57;82178;Puchheim;;;;
Emons;110396;LS73483;ja;05.01.2026;Max Sanktjohanser;22176;Amazon Deutschland E6 Trans.;Amazon Deutschland E6 Transport GmbH;Stegelitzer Straße 10a;39126;Magdeburg;;;;
Planegg;110399;LS73484;ja;15.01.2026;Estaline Philander;26248;FOUR Munich Neue Messe;FOUR Munich Neue Messe;Humboldtstraße 12;85609;Dornach;;;;
Emons;110398;LS73485;ja;05.01.2026;Max Sanktjohanser;21928;Amazon Deutschland W10 Trans.;Amazon Deutschland W10 Transport GmbH;Teltower Straße 15;33719;Bielefeld;;;;
Planegg;110400;LS73486;ja;05.01.2026;Max Sanktjohanser;22526;Amazon Deutschland N18 Trans.;Amazon Deutschland N18 Transport GmbH;Am alten Flughafen 1;04356;Leipzig;;;;
Planegg;110401;LS73487;ja;09.01.2026;Estaline Philander;25259;Condor Technik /Flughafen MUC;Condor Technik GmbH;Wartungsallee 13;85356;München;;;;
Planegg;110402;LS73488;ja;07.01.2026;Estaline Philander;25288;Lindner Industriebedarf GmbH;Lindner Industriebedarf GmbH;Raiffeisenstr. 2a;38159;Vechelde;;;;
Planegg;110403;LS73489;ja;07.01.2026;Estaline Philander;21028;VES;VES Heimwerkermarkt GmbH;Am Windfeld 8;83714;Miesbach;;;;
Planegg;110404;LS73490;ja;05.01.2026;Max Sanktjohanser;21983;Amazon Deutschland W26 Trans.;Amazon Deutschland W26 Transport GmbH;Avantisallee 101;52072;Aachen;;;;
Emons;110405;LS73491;ja;05.01.2026;Max Sanktjohanser;25162;Menü 2000;Amazon Rheinberg DUS Germany GmbH;Amazonstr. 1;47495;Rheinberg;;;;
Emons;110406;LS73492;ja;05.01.2026;Max Sanktjohanser;25162;Menü 2000;Amazon Logistik Mönchengladbach GmbH DUS4;Hamburgring 10;41179;Mönchengladbach;;;;
Planegg;110407;LS73493;ja;19.01.2026;Max Sanktjohanser;27131;Body Balance;Body Balance Stuttgart;Heilbronner Str. 24;71665;Vaihingen an der Enz;;;;
Planegg;110408;LS73494;ja;05.01.2026;Max Sanktjohanser;27132;Förderverein St. Luzia Schule;St. Luzia Grundschule Walbeck;Walbecker Straße 15;47608;Geldern-Walbeck;;;;
Planegg;110417;LS73495;ja;08.01.2026;Estaline Philander;23756;guenstigschlafen24.de;guenstigschlafen24.de;Verdistr. 21;81247;München;;;;
STK Service;110418;LS73496;ja;08.01.2026;Florian Gräf;20587;Getränke-Service Neumann;Gartner Speditions GmbH;Emscherstraße 48;45891;Gelsenkirchen;;;;
Emons;110419;LS73497;ja;07.01.2026;Florian Gräf;10160;AVALESS;AVALESS Depot Kaarst Tel. 015904186981;Daimlerstr.16;41564;Kaarst;;;;
AMW Auersperg;110420;LS73498;ja;15.01.2026;Estaline Philander;25254;Oberlinklinik;Oberlinklinik gGmbH;Rudolf-Breitscheid-Str. 24;14482;Potsdam;;;;
AQUATRADE Glinde;110422;LS73501;ja;13.01.2026;Estaline Philander;23336;Gebeco GmbH & Co. KG;Gebeco GmbH & Co. KG;Holzkoppelweg 19;24118;Kiel;;;;
Planegg;;LS73502;ja;07.01.2026;Sönke Rocho;20111;Josef Degenhart IT Consul;Josef Degenhart IT Consulting;Wenzelstr. 3;94481;Grafenau;;;;
natürlich H2O;110424;LS73503;ja;13.01.2026;Estaline Philander;25984;Arcteryx Berlin = Amer Sports;ARCTERYX Berlin Mitte;Rosenthaler Str. 49;10178;Berlin;;;;
Gänshirt-Aufmbruch;110426;LS73504;ja;01.02.2026;Carmen Berger;26777;Finanzamt Düsseldorf-Nord;Finanzamt Düsseldorf-Nord;Hans-Böckler-Str. 36;40476;Düsseldorf;;;;
Planegg;110421;LS73505;ja;07.01.2026;Josefine Mättig;27133;Womens Best GmbH;Womens Best GmbH;Römerstraße 18;6065;Thaur, Austria;;;;
STK Service;110427;LS73507;ja;14.01.2026;Estaline Philander;23686;Falck Duisburg Hattingen Köln;Falck Notfallrettung und;Johannessegener Str. 1;45527;Hattingen;;;;
Emons;110428;LS73508;ja;09.01.2026;Florian Gräf;10160;AVALESS;AVALESS GmbH;Hansastr. 24;49205;Hasbergen;;;;
Planegg;110430;LS73509;ja;07.01.2026;Florian Gräf;10160;AVALESS;AVALESS GmbH;Hansastr. 24;49205;Hasbergen;;;;
Emons;110433;LS73510;ja;07.01.2026;Christian Irrgang;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
Planegg;110431;LS73511;ja;07.01.2026;Christian Irrgang;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
aboutwater Frankfurt;110429;LS73512;ja;07.01.2026;Estaline Philander;23961;BBC Cellpack;BBC Cellpack Packaging Langgöns GmbH;Perchstetten 2;35428;Langgöns;;;;
natürlich H2O;110432;LS73513;ja;14.01.2026;Estaline Philander;21940;Dt.Gesellsch.f.Auswärtige Poli;Deutsche Gesellschaft für Auswärtige Politik;Rauchstraße 17-18;10787;Berlin;;;;
Planegg;110434;LS73514;ja;07.01.2026;Josefine Mättig;22767;Dachser SE;Dachser SE;Justus-Liebig-Str. 3;34253;Lohfelden;;;;
Emons;;LS73515;ja;07.01.2026;Florian Gräf;24324;Glaser;Gastronomie-Service-Glaser;Hirschstr.42/44;76133;Karlsruhe;;;;
Planegg;110436;LS73516;ja;08.01.2026;Estaline Philander;25884;Stelioplast  GmbH;Stelioplast Roland Stengel;Lena-Christ-Straße 2;82031;Grünwald;;;;
CJM;110438;LS73517;ja;08.01.2026;Estaline Philander;26689;Falck Rettungsdienst Werder;Falck Rettungsdienst Nord GmbH;Otto-Lilienthal-Str. 6;14542;Werder (Havel);;;;
aboutwater Frankfurt;;LS73518;ja;14.01.2026;Carmen Berger;25048;HCC (1) Hessische Zentrale;Hessische Zentrale für Datenverarbeitung;Mackenzeller Str. 3;36088;Hünfeld;;;;
Planegg;110358;LS73519;ja;07.01.2026;Christian Irrgang;25028;Elke Rauer;Elke Rauer;Emmenhauser Str. 3;86899;Landsberg;;;;
Planegg;109789;LS73520;ja;07.01.2026;Christian Irrgang;20234;Bühler-Catering;Bühler-Catering GmbH;Industriestr. 2 b;76275;Ettlingen;;;;
Planegg;110336;LS73521;ja;13.01.2026;Josefine Mättig;25706;YPOG Berlin;YPOG GmbH & Co. KG;Kurfürstendamm 12;10719;Berlin;;;;
Planegg;110240;LS73522;ja;07.01.2026;Josefine Mättig;23160;Esmeyer GmbH & Co. KG;Esmeyer GmbH & Co. KG;Bessemer Strasse 3-5;40699;Erkrath;;;;
Planegg;110082;LS73523;ja;12.01.2026;Josefine Mättig;20829;Fritz Steinhaus GmbH & Co;Fritz Steinhaus GmbH & Co. KG;Im Heidkamp 17;33334;Gütersloh;;;;
Deutscher;110265;LS73524;ja;19.01.2026;Josefine Mättig;20664;Automatenservice Jakob;Automatenservice Jakob;Frankenstraße 7;14770;Brandenburg an der Havel;;;;
Planegg;110440;LS73525;ja;19.01.2026;Estaline Philander;23304;Formula GT GmbH;Formula GT GmbH;Olschewskibogen 5;80935;München;;;;
Planegg;110316;LS73526;ja;07.01.2026;Josefine Mättig;27123;BANSBACH GmbH;BANSBACH GmbH;Löffelstraße 40;70597;Stuttgart;;;;
aboutwater Frankfurt;110441;LS73527;ja;07.01.2026;Carmen Berger;21737;Heuser;Heuser GmbH;Waldstr. 23 / B10;63128;Dietzenbach;;;;
Planegg;109889;LS73528;ja;07.01.2026;Josefine Mättig;23970;Ebury;Ebury Partners Belgium SA/NV;Von der Tann Straße 11;80539;München;;;;
Planegg;110305;LS73529;ja;07.01.2026;Josefine Mättig;27122;neuland - Büro für Informatik;neuland - Büro für Informatik GmbH;Konsul-Smidt-Str. 8g;28217;Bremen;;;;
Emons;110442;LS73530;ja;07.01.2026;Christian Irrgang;20500;Automaten Reinhardt -Kesselsdo;Automaten Reinhardt GmbH & Co.KG;Zum Tälchen 5;01723;Kesselsdorf;;;;
Planegg;109831;LS73531;ja;12.01.2026;Josefine Mättig;24205;DJH LVB Sachsen-Anhalt e.V.;Jugendherberge Naumburg;Am Tennisplatz 9;06618;Naumburg;;;;
POSPRINT;109831;LS73532;ja;09.01.2026;Josefine Mättig;24205;DJH LVB Sachsen-Anhalt e.V.;Jugendherberge Naumburg;Am Tennisplatz 9;06618;Naumburg;;;;
AQUATRADE Glinde;110444;LS73533;ja;12.01.2026;Estaline Philander;22339;Technolog services GmbH;TECHNOLOG services GmbH;Vorsetzen 50  /  4.OG;20459;Hamburg;;;;
Gänshirt-Aufmbruch;110445;LS73534;ja;14.01.2026;Carmen Berger;25751;AAG Distribution / Hennig Fahr;Hennig Fahrzeugteile GmbH & Co. KG;Europaallee 54;50226;Frechen;;;;
Planegg;;LS73535;ja;07.01.2026;Christian Irrgang;20587;Getränke-Service Neumann;Getränke-Service Neumann;Weinstr. 2b;79219;Staufen;;;;
VST Schörling;;LS73536;ja;09.01.2026;Carmen Berger;22187;Landesverband Bayer.Bauinnunge;Landesverband Bayerischer Bauinnungen;Kobellstraße 17 1.OG;80336;München;;;;
Planegg;110448;LS73539;ja;07.01.2026;Josefine Mättig;21149;Flaschenland;Flaschenland GmbH;Am Kirchenwald 1;56235;Ransbach-Baumbach;;;;
Gänshirt-Aufmbruch;110450;LS73540;ja;16.01.2026;Petra Gräf;21884;Realschule Hürth;Friedrich-Ebert-Schule;Krankenhausstraße 91;50354;Hürth;;;;
Schöttle - Haiterbach;110449;LS73541;ja;15.01.2026;Estaline Philander;25882;myStorage GmbH;myStorage GmbH;Storlachstr. 4;72760;Reutlingen;;;;
Planegg;110452;LS73542;ja;07.01.2026;Christian Irrgang;21560;Helmut Hell;Helmut Hell;Eich 8;83561;Ramerberg;;;;
STK Service;110453;LS73543;ja;12.01.2026;Estaline Philander;23354;apt Extrusions;apt Extrusions GmbH & Co. KG;Edisonstr. 1;40789;Monheim am Rhein;;;;
Planegg;110454;LS73544;ja;19.01.2026;Estaline Philander;24721;Leibniz Rechenzentrum;Leibniz Rechenzentrum;Boltzmannstr. 1;85748;Garching;;;;
